sequence,frames,feature_candidates,feature_accepted,feature_rejected,gate_pass_rate,duration_s,wall_runtime_s,mean_tracked_features,mean_lost_features,filter_residual_median_px,filter_residual_p95_px,gt_reprojection_finite_fraction,gt_reprojection_median_px,gt_reprojection_p95_px,chi2_median,chi2_p95,covariance_symmetry_max,covariance_min_diagonal,size_bytes,sha256
MH_01_easy,2764,6172,4636,1536,0.7511341542449773,138.14999985694885,,186.19138929088277,2.759768451519537,2.1060245244221543,33.56011626099651,0.9915748541801686,0.8682851287441298,10.293418492805886,4.2700681172641985,1079.9701643721246,0.0,3.8053548796184275e-09,4655532,4be967dfa22816aaecff2199bd712a6a6c4ca76d580a815e3fd6543d753eaa86
MH_02_easy,2238,4763,3625,1138,0.761074952760865,111.84999990463257,285,185.8449508489723,2.6706881143878465,1.9372297499180593,37.23925285266379,0.990132269577997,0.801645187525343,10.392129462096477,3.600729114432835,1286.9250162893597,0.0,3.777074920248666e-09,3752095,cbc57d498185f8723207f653b770b94c092976667758f5fe03e490f9b53c5f1d
MH_03_medium,2291,6678,5196,1482,0.7780772686433064,114.5,290,185.78961152335225,4.038411174159756,2.0987909844148662,20.05648701523186,1.0,1.3018085766578653,6.768942999167535,4.273579383054711,301.3841544937392,8.673617379884035e-19,3.7964604058353705e-09,3945321,a30c85923120109382a47f96564afa0b75da37884485069d995173a41b9155fe
MH_04_difficult,1594,3886,3181,705,0.8185795162120433,79.65000009536743,199,178.84190715181933,4.264742785445421,1.8222931556467619,15.231132041304694,1.0,0.9289373536339651,5.281114469057597,3.1746340152852133,218.57087488009626,1.4941661189565858e-18,4.033189963699642e-09,2711538,345257e3c38ee9cab6509ef19738382f08e36270a1c1aec99e76a57e91e696f0
MH_05_difficult,1829,700,82,618,0.11714285714285715,91.39999985694885,247,179.6375068343357,3.6205576817933296,43.11693325251495,111.92213210489491,0.9042857142857142,31.101397233784983,72.0820279844367,248.9734674305487,919.7186745144666,4.547473508864641e-11,5.6676936981885454e-08,2752163,0c117e5442415dab3fc0e6483b45c6e1c0dbd22d5ea41843fcdb6c53d66e6510
V1_01_easy,2782,10454,8827,1627,0.8443657929978955,139.05000019073486,321,182.35801581595973,3.4503953989935296,1.410363521746607,34.96503693127248,0.9987564568586187,1.7961640889858224,8.409987641107461,1.9370150990182329,1186.02566095177,0.0,4.131451424969543e-09,4891460,0c72a3c7d0c538ccddac3cef04b0e90131eb22aaad35123578e9a44aae41054e
V1_02_medium,1594,6751,5247,1504,0.7772181898977929,79.65000009536743,184,171.88268506900877,5.763488080301129,2.039809214192158,43.905533289737164,0.9976299807435935,1.4758729845308405,12.594527435141293,4.085356617775305,1606.4711856110075,0.0,4.844657036783885e-09,2888541,d83fff4bbaa4c4b19203280c6a6593e3343af4998eff67fe813c48b54c19e6db
V1_03_difficult,1988,9690,6992,2698,0.7215686274509804,99.34999990463257,231,163.0638832997988,6.559859154929577,2.466962643562649,26.527897237800595,1.0,1.5429594005249103,8.84274391828373,5.971474914740579,693.7636226035418,0.0,5.4554221878050884e-09,3672013,c73aa79c527682583e14158fbff284d4b0af51b4e18f003d7edbd397067f9cf9
V2_01_easy,2168,6606,5193,1413,0.7861035422343324,108.34999966621399,244,173.440036900369,2.922509225092251,1.8336573673224108,28.391752108498295,1.0,0.8447453913125759,7.5782955376330206,3.2518906459710255,789.8788568757013,3.469446951953614e-17,4.034998047616684e-09,3754716,76b761493797d2196515bf8093ee18ba6f8a34230879274d4fed5283f27210a3
V2_02_medium,2254,9042,7076,1966,0.7825702278257023,112.64999985694885,249,163.71384205856256,4.851818988464951,1.9863337556458327,23.277955508692877,0.9988940499889405,1.0680918998778255,7.4724467622649495,3.86347489046296,540.5278335876958,2.168404344971009e-19,4.862805313581047e-09,4074559,85bd57f730f6cc3944858d7a97c175c24d5344df038e990d2c4f3bbcb939a48e
V2_03_difficult,1800,9587,5878,3709,0.613121935954939,110.35000014305115,200,141.91,5.763888888888889,3.0997134643888082,37.89080538900831,1.0,2.3708774829432615,15.523948890878398,9.396007868711742,1355.8877199373842,4.580754178751256e-18,5.350189371093139e-09,3429684,ccbad756659a12a5b1f29c1e0f59778d0ade6a381fd51d9695914d12021e0dee
